Sr. No.,Gender,Region,Annual Family Income,District,Taluka,Category,SSC Math Percentage,SSC Total Percentage,HSC Physics Percentage,HSC Chemistry Percentage,HSC Math Percentage,HSC Subject Percentage,HSC English Percentage,HSC Total Percentage,CET Percentile,JEE Percentile,Merit No,Merit Marks,Admitted
182,Male,Urban,"15,001 - 50,000",Amravati,Amravati,Open,79,66.6,84,82,78,84,79,81.67,49.5849968,,65230,49.5849968,1
183,Female,Urban,"6,00,001 - 7,00,000",Amravati,Amravati,SC,71,67.8,23,26,33,32,86,27,0.905090163,25.0813207,429568,0.313252485,0
184,Male,Rural,"50,001 - 1,00,000",Nagpur,Kamptee,OBC,71,74,83,90,86,85,86,85,13.8182957,,93259,13.8182957,1
185,Male,Urban,"2,00,001 -2,50,000",Amravati,Amravati,OBC,70,64.6,78,82,83,92.5,77,84.17,50.6109392,21.950434,10,50.6109392,1
186,Female,Urban,"15,001 - 50,000",Amravati,Achalpur,OBC,73,71.4,67,75,62,82.5,69,73,15.1712203,,86,15.1712203,1
187,Female,Urban,"50,001 - 1,00,000",Amravati,Amravati,OBC,69,72.4,85,85,78,92,81,85.5,41.1346317,,73040,41.1346317,1
188,Female,Rural,"15,001 - 50,000",Amravati,Anjangaon Surji,OBC,74,79.4,28,22,31,31,87,33,0.191345596,,391884,0.005652818,0
189,Male,Urban,"15,001 - 50,000",Amravati,Amravati,Open,65,74.2,31,31,22,31,76,26,0.866394115,,350443,0.181091876,0
190,Male,Urban,"15,001 - 50,000",Yavatmal,Digras,OBC,95,82.6,25,33,28,22,90,28,0.968212443,,128916,0.358697009,0
191,Female,Urban,"6,00,001 - 7,00,000",Amravati,Amravati,OBC,67,72,75,78,77,69,73,74.5,61.5287969,23.9525462,52915,61.5287969,1
192,Male,Urban,"7,00,001 - 8,00,000",Yavatmal,Darwha,OBC,94,85.6,90,87,89,89.5,89,89,67.9011717,61.294048,27292,61.294048,1
193,Female,Rural,"15,001 - 50,000",Akola,Akola,OBC,75,81.8,91,76,67,0,87,82,41.1346317,73.2427815,16729,73.2427815,1
194,Female,Urban,">= 15,00,001",Yavatmal,Digras,Open,100,91.6,72,72,87,79,79,80.15,75.7188332,,36157,75.7188332,1
195,Female,Rural,"15,001 - 50,000",Amravati,Amravati,OBC,55,73.2,40,42,47,0,41,53.08,44.8674577,,69706,44.8674577,1
196,Male,Urban,"1,00,001 - 1,50,000",Amravati,Amravati,SC,73,69.2,22,24,22,30,77,23,0.924939183,25.3878447,114630,0.198315997,0
197,Female,Rural,"15,001 - 50,000",Wardha,Arvi,SC,92,87.4,25,24,22,31,87,33,0.672405453,57.3181535,472400,0.615015898,0
198,Female,Rural,"15,001 - 50,000",Amravati,Chandurbazar,OBC,86,77,25,26,30,25,76,27,0.88701113,34.9084435,210821,0.61327562,0
199,Male,Urban,"15,001 - 50,000",Amravati,Amravati,Open,78,61,81,80,79,88,72,81.33,30.1146048,22.9937492,28,30.1146048,1
200,Male,Rural,"15,001 - 50,000",Wardha,Arvi,OBC,86,64.83,85,84,81,89,76,84,58.2603585,,56972,58.2603585,1
201,Male,Rural,"15,001 - 50,000",Amravati,Teosa,OBC,88,75.4,25,30,33,20,82,25,0.295026722,4.9501234,145960,0.06212943,0
202,Female,Rural,"15,001 - 50,000",Wardha,Arvi,OBC,87,81.4,30,23,21,25,85,27,0.327353501,,248265,0.908796296,0
203,Female,Rural,"15,001 - 50,000",Amravati,Nandgaon-Khandeshwar,SC,71,72.2,83,80,81,84,76,80.17,56.6347972,,58082,56.6347972,1
204,Male,Urban,"8,00,001 - 9,00,000",Amravati,Warud,OBC,72,79.6,85,88,83,86,86,85.67,48.8491306,26.5180473,65802,48.8491306,1
205,Female,Rural,"15,001 - 50,000",Amravati,Dharni,Open,96,89,22,31,20,29,55,22,0.017947672,,137899,0.741756386,0
206,Male,Rural,"15,001 - 50,000",Buldhana,Sangrampur,OBC,92,80.4,64,58,88,67,55,69.38,66.2408483,,47500,66.2408483,1
207,Male,Urban,"15,001 - 50,000",Amravati,Amravati,Open,65,74.2,80,81,80,85,76,78.33,1.4238829,,61,1.4238829,1
208,Male,Urban,"15,001 - 50,000",Amravati,Amravati,Open,53,61.2,84,85,85,87,82,84.5,3.6409822,,59,3.6409822,1
209,Male,Rural,"3,00,001 - 3,50,000",Amravati,Amravati,Open,60,73.4,77,77,75,78,79,73.83,61.7065716,,52695,61.7065716,1
210,Male,Urban,"15,001 - 50,000",Amravati,Amravati,NT 1 (NT-B),77,75.6,21,24,27,21,80,29,0.487405212,,269165,0.80234711,0
211,Male,Rural,"15,001 - 50,000",Amravati,Nandgaon-Khandeshwar,OBC,67,56,82,81,82,83,73,80.67,70.7243564,42.2103451,42788,70.7243564,1
212,Male,Rural,"15,001 - 50,000",Amravati,Bhatkuli,OBC,74,67.8,28,29,24,23,78,23,0.99036147,,145149,0.882736277,0
213,Male,Rural,"15,001 - 50,000",Buldhana,Motala,OBC,73,72,25,26,25,30,70,21,0.78352666,,180208,0.997371824,0
214,Female,Urban,"8,00,001 - 9,00,000",Amravati,Amravati,OBC,88,80.4,83,77,82,92,81,83,48.3091541,,66560,48.3091541,1
215,Male,Rural,"15,001 - 50,000",Washim,Washim,NT 3 (NT-D),94,89.6,28,30,27,28,94,33,0.498937147,11.0471807,534834,0.732681624,0
216,Male,Urban,"6,00,001 - 7,00,000",Amravati,Amravati,OBC,54,61.8,88,89,85,94.5,87,89.67,22.8953821,,36,22.8953821,1
217,Male,Urban,"2,50,001 - 3,00,000",Amravati,Amravati,OBC,76,64.8,83,85,78,90,84,85,33.1688568,32.5070136,79755,33.1688568,1
218,Male,Rural,"15,001 - 50,000",Amravati,Dhamangaon Railway,Open,97,82,88,85,87,88.5,88,87.5,74.2881116,,37978,74.2881116,1
219,Male,Urban,"15,001 - 50,000",Amravati,Amravati,OBC,64,64.4,52,71,50,85,78,70.17,,10.6125755,20,10.6125755,1
220,Male,Rural,"15,001 - 50,000",Washim,Karanja,OBC,84,84.6,28,29,26,28,85,28,0.600050254,22.9937492,192466,0.917498557,0
221,Male,Urban,"50,001 - 1,00,000",Amravati,Amravati,SC,71,71.4,79,83,74,78,76,77.5,8.8142108,10.6996637,49,8.8142108,1
222,Male,Urban,"2,00,001 -2,50,000",Yavatmal,Yavatmal,NT 1 (NT-B),78,85,76,64,55,0,88,73.6,48.9793798,,65464,48.9793798,1
223,Male,Rural,"5,50,001 - 6,00,000",Washim,Mangrulpir,OBC,49,50.4,23,21,27,29,74,23,0.694483943,,262425,0.022625336,0
224,Male,Rural,"15,001 - 50,000",Amravati,Amravati,OBC,83,84.2,20,24,22,27,87,28,0.495742897,,137994,0.671336868,0
225,Male,Urban,"1,00,001 - 1,50,000",Amravati,Amravati,OBC,50,47.16,24,32,28,23,83,24,0.655113286,,223843,0.350451347,0
226,Male,Rural,"15,001 - 50,000",Amravati,Amravati,OBC,75,82.8,20,30,20,28,79,23,0.925423228,,568838,0.662780071,0
227,Male,Urban,"9,00,001 - 10,00,000",Yavatmal,Ner,OBC,49,66.4,78,73,74,78,74,75.67,53.9180629,,9,53.9180629,1
228,Female,Urban,"10,00,001 - 15,00,000",Amravati,Amravati,NT 1 (NT-B),77,80.6,32,27,27,31,75,31,0.31637612,61.7336483,272433,0.139913518,0
229,Male,Rural,"50,001 - 1,00,000",Amravati,Chandur Railway,Open,75,69.2,90,88,83,86,90,87.33,22.8953821,,87541,22.8953821,1
230,Female,Rural,"50,001 - 1,00,000",Yavatmal,Arni,OBC,82,80.8,20,33,24,24,79,31,0.251301141,63.0663203,453469,0.484892389,0
231,Female,Rural,"15,001 - 50,000",Amravati,Bhatkuli,NT 1 (NT-B),64,83.4,84,88,82,85,83,86.33,50.7987581,,64604,50.7987581,1
232,Male,Urban,"50,001 - 1,00,000",Amravati,Amravati,Open,54,54.4,30,32,31,20,74,23,0.67334689,53.1391551,565637,0.63170679,0
233,Male,Urban,"50,001 - 1,00,000",Amravati,Amravati,NT 1 (NT-B),59,64.6,77,82,75,83,74,78.5,74.3520423,,37705,74.3520423,1
234,Female,Urban,"3,50,001 - 4,00,000",Yavatmal,Yavatmal,OBC,73,73.2,21,25,23,27,87,27,0.296963,54.7510975,476657,0.951667518,0
235,Male,Urban,"0 - 15,000",Amravati,Anjangaon Surji,OBC,68,66.6,81,81,78,81,80,80.5,8.3443709,,52,8.3443709,1
236,Female,Urban,"15,001 - 50,000",Amravati,Achalpur,OBC,73,71.4,22,21,27,20,69,30,0.004460104,,484152,0.993471509,0
237,Male,Rural,"15,001 - 50,000",Gondia,Goregaon,SC,84,86,28,31,22,28,90,28,0.567170051,67.0210573,431189,0.976811649,0
238,Male,Rural,"15,001 - 50,000",Amravati,Dhamangaon Railway,OBC,69,67.6,91,88,84,28,73,85.33,51.2157744,,63815,51.2157744,1
239,Female,Rural,"15,001 - 50,000",Amravati,Amravati,OBC,42,58.8,29,30,33,31,76,28,0.893538417,,346787,0.033728085,0
240,Male,Rural,"15,001 - 50,000",Wardha,Hinganghat,Open,45,60.8,82,79,79,93,75,83.5,58.8127327,56.4272421,56099,58.8127327,1
241,Male,Rural,"15,001 - 50,000",Amravati,Chandur Railway,DT/VJ,78,73.6,58,58,59,62,57,60,41.5574493,,72374,41.5574493,1
242,Male,Urban,"1,00,001 - 1,50,000",Amravati,Teosa,Open,64,64.6,79,71,76,75,55,69.17,27.218816,,83604,27.218816,1
243,Female,Urban,"15,001 - 50,000",Amravati,Amravati,OBC,87,75.2,32,20,20,32,84,31,0.847378858,,128262,0.744920446,0
244,Female,Urban,"4,50,001 - 5,00,000",Amravati,Amravati,OBC,87,79.4,25,21,22,21,81,26,0.84982598,8.2227404,516910,0.060706315,0
245,Male,Rural,"50,001 - 1,00,000",Buldhana,Motala,OBC,79,81.4,27,20,26,30,95,28,0.720930496,52.1049688,225033,0.641144936,0
246,Female,Rural,"15,001 - 50,000",Amravati,Morshi,OBC,90,87.6,32,21,25,33,85,32,0.377335663,12.2100468,154018,0.669223945,0
247,Female,Urban,"50,001 - 1,00,000",Chandrapur,Ballarpur,DT/VJ,92,92.4,24,25,25,26,58,33,0.254716205,,331201,0.673944306,0
248,Male,Rural,"15,001 - 50,000",Amravati,Dhamangaon Railway,NT 2 (NT-C),70,68.8,25,27,24,28,75,25,0.725126014,,593550,0.173971364,0
249,Male,Rural,"15,001 - 50,000",Amravati,Nandgaon-Khandeshwar,SC,56,57.4,71,74,69,73,71,71.83,44.989715,,85,44.989715,1
250,Female,Urban,"15,001 - 50,000",Amravati,Nandgaon-Khandeshwar,OBC,68,63,22,23,33,26,75,28,0.861403994,,198624,0.00407512,0
251,Male,Rural,"15,001 - 50,000",Washim,Mangrulpir,SC,92,87,80,85,85,89,79,83.17,26.7344905,50.3249987,36072,50.3249987,1
252,Male,Rural,"15,001 - 50,000",Buldhana,Chikhli,Open,56,58,78,80,79,82,75,78.67,67.2915815,,46845,67.2915815,1
253,Male,Rural,"15,001 - 50,000",Washim,Manora,OBC,89,76.4,33,27,24,29,82,22,0.751299889,,277475,0.561382827,0
254,Male,Rural,"50,001 - 1,00,000",Amravati,Amravati,Open,70,76.8,82,83,78,82,82,81.33,19.7997548,,89522,19.7997548,1
255,Female,Rural,"6,00,001 - 7,00,000",Amravati,Achalpur,OBC,92,86.2,87,92,85,97,87,90.83,61.1578019,,54060,61.1578019,1
256,Male,Rural,"50,001 - 1,00,000",Akola,Murtijapur,SC,84,81.4,93,91,91,92,84,89.5,14.9465104,,92648,14.9465104,1
257,Female,Rural,"15,001 - 50,000",Amravati,Amravati,OBC,85,82.6,87,85,84,94,89,88.67,32.2078055,,80324,32.2078055,1
258,Male,Rural,"1,50,001 - 2,00,000",Amravati,Achalpur,NT 2 (NT-C),77,76.2,27,24,23,28,80,30,0.581945214,,213988,0.217803973,0
259,Male,Rural,"15,001 - 50,000",Amravati,Anjangaon Surji,SC,85,82,87,88,94,93,88,88.67,67.8408129,,83,67.8408129,1
260,Male,Rural,"15,001 - 50,000",Washim,Mangrulpir,OBC,89,83.6,27,28,27,26,77,23,0.453617084,50.3249987,195503,0.263750595,0
261,Female,Urban,"15,001 - 50,000",Amravati,Daryapur,NT 2 (NT-C),77,71.6,22,26,27,27,44,20,0.937053138,44.924563,260007,0.599394753,0
262,Male,Rural,"15,001 - 50,000",Yavatmal,Babulgaon,OBC,72,78.8,82,81,79,76,79,79.5,71.5034873,,41273,71.5034873,1
263,Female,Urban,"4,50,001 - 5,00,000",Yavatmal,Yavatmal,Open,54,76,92,94,91,94,90,92.5,57.2430271,38.2831895,57542,57.2430271,1
264,Female,Urban,"15,001 - 50,000",Amravati,Daryapur,NT 2 (NT-C),62,71.8,21,24,29,30,78,30,0.381816924,,331060,0.246662334,0
265,Male,Rural,"50,001 - 1,00,000",Yavatmal,Darwha,OBC,89,84.2,30,24,33,22,90,29,0.365981905,,470873,0.585214936,0
266,Female,Rural,"15,001 - 50,000",Akola,Akola,OBC,75,81.8,27,31,24,28,87,20,0.717291693,73.2427815,489098,0.674691372,0
267,Male,Rural,"15,001 - 50,000",Amravati,Daryapur,SC,85,66.4,28,21,28,22,78,25,0.486578855,,412327,0.703690142,0
268,Male,Rural,"5,00,001 - 5,50,000",Bhandara,Bhandara,SC,83,82.4,86,82,87,88,82,85.17,40.2546574,57.9405584,73915,40.2546574,1
269,Male,Rural,"15,001 - 50,000",Amravati,Chandur Railway,SC,51,71.8,84,81,79,83,85,82.5,65.876376,33.8125681,48115,65.876376,1
270,Male,Rural,"5,00,001 - 5,50,000",Akola,Patur,SC,72,77.8,31,27,32,26,80,30,0.754929699,,465338,0.181868099,0
271,Male,Urban,"50,001 - 1,00,000",Yavatmal,Yavatmal,OBC,55,57.8,86,86,83,86,83,84.5,1.402151,33.1679183,47226,33.1679183,1
272,Male,Urban,"3,50,001 - 4,00,000",Saharsa,Not Applicable,Not Applicable,72,81,64,78,46,0,90,70.4,80.3937702,61.9765983,26621,61.9765983,1
273,Female,Rural,"9,00,001 - 10,00,000",Amravati,Amravati,Open,77,78.2,20,33,30,21,91,22,0.467603855,38.898332,360018,0.792060646,0
274,Female,Rural,"15,001 - 50,000",Amravati,Warud,OBC,64,76,88,88,92,94.5,89,91,37.3800409,62.9455594,25756,62.9455594,1
275,Male,Urban,"50,001 - 1,00,000",Amravati,Amravati,OBC,79,78.6,77,75,78,83,77,78.5,66.1416397,,47726,66.1416397,1
276,Female,Urban,"7,00,001 - 8,00,000",Amravati,Morshi,Open,71,67,31,22,31,31,83,25,0.465043676,,412815,0.137498559,0
277,Female,Rural,"15,001 - 50,000",Buldhana,Sangrampur,OBC,85,89,86,87,86,89,86,88,70.3981929,,43279,70.3981929,1
278,Male,Urban,"15,001 - 50,000",Wardha,Deoli,SC,35,38.6,68,72,69,72,57,68,18.1708342,63.0663203,25609,63.0663203,1
279,Male,Urban,"15,001 - 50,000",Amravati,Amravati,OBC,69,69.6,22,32,21,33,79,26,0.053777863,68.8226961,128140,0.889501915,0
280,Male,Urban,"15,001 - 50,000",Amravati,Morshi,OBC,75,75,76,79,80,80,78,78.33,50.7987581,,64409,50.7987581,1
281,Male,Urban,"50,001 - 1,00,000",Amravati,Amravati,OBC,41,49.4,78,77,74,78,73,75.67,,0.2314212,72,0.2314212,1
282,Male,Rural,"15,001 - 50,000",Buldhana,Nandura,Open,81,75.6,21,24,21,31,87,24,0.943352869,,180160,0.962773515,0
283,Female,Rural,"15,001 - 50,000",Gadchiroli,Chamorshi,OBC,78,77.8,30,26,33,32,86,25,0.417557136,48.991701,116503,0.279719592,0
284,Female,Rural,"15,001 - 50,000",Wardha,Karanja,SC,72,79.4,20,20,32,32,83,28,0.500821469,,104612,0.144078694,0
285,Male,Urban,"50,001 - 1,00,000",Amravati,Amravati,NT 2 (NT-C),67,67.2,79,69,71,73,80,73.83,6.7491741,,97270,6.7491741,1
286,Male,Urban,"15,001 - 50,000",Amravati,Morshi,OBC,83,79.2,22,28,22,33,86,30,0.770193678,37.4585688,435510,0.089068703,0
287,Male,Urban,"9,00,001 - 10,00,000",Yavatmal,Ghatanji,OBC,88,80,22,20,22,30,92,31,0.346159114,44.8931643,180497,0.827121286,0
288,Female,Urban,"4,50,001 - 5,00,000",Amravati,Dhamangaon Railway,Open,96,88.2,24,32,20,33,90,20,0.753644287,,414228,0.683865048,0
289,Male,Rural,"50,001 - 1,00,000",Amravati,Amravati,OBC,60,42.8,20,22,23,23,64,30,0.482800835,19.2925873,107774,0.372470269,0
290,Female,Rural,"15,001 - 50,000",Amravati,Morshi,OBC,88,82,86,82,91,87,83,86.83,68.9918585,,44677,68.9918585,1
291,Male,Urban,"2,00,001 -2,50,000",Yavatmal,Yavatmal,NT 1 (NT-B),78,85,30,33,32,29,88,31,0.833262272,,386067,0.436785144,0
292,Male,Rural,"15,001 - 50,000",Buldhana,Nandura,Open,73,70.8,30,21,33,32,84,29,0.214293138,25.3721987,330282,0.097420323,0
293,Male,Rural,"15,001 - 50,000",Amravati,Amravati,OBC,88,84.2,93,92,92,95,77,89,75.7188332,,36217,75.7188332,1
294,Male,Urban,"15,001 - 50,000",Wardha,Arvi,SBC,76,73.6,25,30,28,29,78,32,0.728036103,15.9578854,108607,0.426921278,0
295,Female,Urban,"50,001 - 1,00,000",Amravati,Daryapur,NT 2 (NT-C),62,73.6,30,28,29,24,81,32,0.40133816,,571179,0.513540229,0
296,Male,Urban,"50,001 - 1,00,000",Buldhana,Deolgaon Raja,OBC,64,67,67,73,70,0,79,74.6,69.6641264,,44022,69.6641264,1
297,Male,Rural,"50,001 - 1,00,000",Amravati,Chandur Railway,OBC,43,58.2,84,82,78,88,77,81.5,49.5849968,,65332,49.5849968,1
298,Female,Urban,"10,00,001 - 15,00,000",Amravati,Amravati,NT 1 (NT-B),77,80.6,80,82,81,89.5,75,82.83,61.8916532,61.7336483,26776,61.7336483,1
299,Male,Rural,"15,001 - 50,000",Amravati,Warud,NT 2 (NT-C),71,69.6,29,24,26,30,78,22,0.324325396,,193772,0.273098081,0
300,Male,Rural,"15,001 - 50,000",Akola,Telhara,OBC,61,58,26,33,24,32,75,26,0.044329482,6.1678318,539523,0.700428755,0
301,Male,Rural,"50,001 - 1,00,000",Amravati,Amravati,NT 1 (NT-B),92,78.4,26,31,20,27,78,24,0.046900079,,267128,0.230020652,0
302,Male,Urban,"7,00,001 - 8,00,000",Amravati,Amravati,OBC,83,63.6,29,23,26,24,80,26,0.313260032,66.7676723,484595,0.077789911,0
303,Male,Urban,"9,00,001 - 10,00,000",Akola,Akot,OBC,76,74.4,30,25,20,32,84,22,0.953492733,41.8216831,167566,0.827188533,0
304,Female,Urban,"4,50,001 - 5,00,000",Amravati,Amravati,OBC,87,79.4,80,77,80,90,81,83,17.2251737,8.2227404,46,17.2251737,1
305,Male,Urban,"50,001 - 1,00,000",Amravati,Amravati,Open,84,79,84,80,80,90,79,83.83,26.7293565,47.5060905,31,26.7293565,1
306,Female,Urban,"15,001 - 50,000",Yavatmal,Yavatmal,Open,81,72,20,32,25,25,86,21,0.068347573,28.3388001,229655,0.00657763,0
307,Male,Rural,"15,001 - 50,000",Hingoli,Kalamnuri,Open,91,76.2,24,28,32,33,93,20,0.378388467,,481077,0.639693401,0
308,Male,Urban,"15,001 - 50,000",Amravati,Amravati,Open,53,61.2,27,32,27,30,82,25,0.904668421,,576530,0.938187365,0
309,Female,Rural,"15,001 - 50,000",Akola,Akola,SC,73,63,33,25,27,20,75,31,0.978427614,,200183,0.601383556,0
310,Female,Rural,"15,001 - 50,000",Wardha,Karanja,OBC,85,83.8,22,20,24,22,89,24,0.290622844,,182123,0.444978113,0
311,Male,Rural,"15,001 - 50,000",Washim,Mangrulpir,SC,92,87,28,28,32,25,79,30,0.309719676,50.3249987,284463,0.005668588,0
312,Female,Rural,"15,001 - 50,000",Amravati,Chandurbazar,Open,89,91.8,27,31,28,26,87,28,0.366842969,,278417,0.816762707,0
313,Female,Urban,"15,001 - 50,000",Washim,Washim,Open,79,78.4,30,23,20,20,85,23,0.809258225,,260852,0.15157422,0
314,Male,Rural,"50,001 - 1,00,000",Amravati,Chandurbazar,OBC,90,86.4,20,26,31,32,87,23,0.592217846,,293321,0.986689864,0
315,Male,Rural,"2,00,001 -2,50,000",Amravati,Achalpur,Open,86,81.8,84,83,86,91,80,85.83,67.7749226,50.4381119,46505,67.7749226,1
316,Female,Rural,"1,00,001 - 1,50,000",Washim,Mangrulpir,OBC,89,90.2,31,28,20,24,84,29,0.09793686,,223438,0.036967563,0
317,Female,Urban,"1,50,001 - 2,00,000",Amravati,Amravati,OBC,75,84.6,97,97,95,97,96,96.5,28.7742003,67.5887811,21638,67.5887811,1
318,Male,Urban,"2,50,001 - 3,00,000",Amravati,Amravati,DT/VJ,85,76.6,58,36,60,73,59,62.92,23.373494,39.9809039,35,23.373494,1
319,Female,Urban,"1,50,001 - 2,00,000",Amravati,Amravati,OBC,75,84.6,28,26,30,24,96,23,0.305196086,67.5887811,471132,0.222914529,0
320,Male,Rural,"3,00,001 - 3,50,000",Amravati,Amravati,Open,60,73.4,33,33,22,28,79,26,0.623285304,,136596,0.84280436,0
321,Female,Rural,"15,001 - 50,000",Wardha,Ashti,NT 1 (NT-B),92,84.8,24,28,32,25,94,33,0.367194005,60.3186926,169717,0.002359221,0
322,Male,Urban,"15,001 - 50,000",Amravati,Amravati,OBC,59,57.4,26,20,23,23,74,25,0.074606181,,384832,0.459179832,0
323,Male,Urban,"3,50,001 - 4,00,000",Saharsa,Not Applicable,Not Applicable,72,81,28,22,30,32,90,20,0.913152765,61.9765983,482389,0.039135257,0
324,Male,Urban,"15,001 - 50,000",Amravati,Amravati,OBC,71,70.6,72,83,71,80,75,75.33,70.7140758,,43092,70.7140758,1
325,Male,Rural,"15,001 - 50,000",Amravati,Chandur Railway,OBC,85,80.6,81,80,77,79,82,80,,62.741662,25865,62.741662,1
326,Male,Urban,"8,00,001 - 9,00,000",Amravati,Amravati,OBC,93,89.2,27,22,20,27,91,26,0.191787838,,291018,0.61981101,0
327,Male,Urban,"15,001 - 50,000",Amravati,Amravati,OBC,57,52.6,78,76,73,79,65,74,41.6222736,,68,41.6222736,1
328,Male,Rural,"50,001 - 1,00,000",Buldhana,Sangrampur,SC,90,79.2,25,29,20,32,83,25,0.913330641,,344451,0.139032047,0
329,Male,Urban,"4,50,001 - 5,00,000",Akola,Akola,OBC,88,86.6,31,33,26,23,94,25,0.026082728,,561994,0.710821661,0
330,Male,Urban,"50,001 - 1,00,000",Washim,Karanja,OBC,69,68.2,73,85,74,87,72,80.5,,38.9334476,43869,38.9334476,1
331,Male,Urban,"4,50,001 - 5,00,000",Amravati,Amravati,OBC,39,44.33,78,81,66,76,71,72.17,15.1712203,,92239,15.1712203,1
332,Female,Urban,"15,001 - 50,000",Amravati,Chandur Railway,SC,93,79.6,88,89,83,84,92,87.33,41.0748854,,18,41.0748854,1
333,Male,Rural,"15,001 - 50,000",Washim,Malegaon,NT 1 (NT-B),66,61.8,83,85,83,83,69,81,46.0655482,18.0827498,68344,46.0655482,1
334,Male,Rural,"8,00,001 - 9,00,000",Wardha,Deoli,OBC,69,58.8,23,32,21,20,78,29,0.830521577,,100880,0.291193084,0
335,Male,Rural,"15,001 - 50,000",Amravati,Achalpur,OBC,57,66.6,23,25,31,27,74,32,0.703439821,,303781,0.003758297,0
336,Male,Rural,"15,001 - 50,000",Wardha,Arvi,NT 1 (NT-B),49,57.2,22,29,30,21,75,31,0.662756059,,509105,0.421723417,0
337,Male,Rural,"15,001 - 50,000",Gondia,Goregaon,SC,84,86,92,93,92,91,90,91,40.2546574,67.0210573,22127,67.0210573,1
338,Female,Rural,"15,001 - 50,000",Amravati,Nandgaon-Khandeshwar,OBC,56,60,20,21,31,20,74,32,0.156389455,,150966,0.385214308,0
339,Female,Rural,"15,001 - 50,000",Yavatmal,Babulgaon,NT 2 (NT-C),74,77.4,24,27,33,29,82,31,0.484805035,,269804,0.264419434,0
340,Male,Rural,"5,00,001 - 5,50,000",Akola,Patur,SC,72,77.8,85,85,84,88,80,84,45.9812986,,68585,45.9812986,1
341,Male,Rural,"15,001 - 50,000",Akola,Murtijapur,OBC,69,71.4,26,28,30,22,82,29,0.340509827,,448709,0.295517721,0
342,Male,Rural,"15,001 - 50,000",Amravati,Amravati,OBC,75,82.8,92,90,84,93,79,87.33,23.373494,,87303,23.373494,1
343,Female,Urban,">= 15,00,001",Yavatmal,Digras,Open,100,91.6,23,22,33,28,79,31,0.709209188,,408768,0.751665946,0
344,Male,Urban,"15,001 - 50,000",Akola,Murtijapur,OBC,93,82.2,32,26,22,22,85,22,0.962938648,50.489379,513356,0.540408258,0
345,Male,Urban,"50,001 - 1,00,000",Amravati,Amravati,Open,82,79,94,95,92,98,91,94.67,61.274009,,53637,61.274009,1
346,Male,Rural,"15,001 - 50,000",Wardha,Ashti,SC,42,50.8,22,24,28,26,75,30,0.021747907,,126297,0.006470479,0
347,Male,Rural,"15,001 - 50,000",Buldhana,Sangrampur,OBC,92,80.4,31,31,20,28,55,30,0.957528891,,258461,0.103862626,0
348,Female,Rural,"15,001 - 50,000",Amravati,Amravati,OBC,42,58.8,73,69,68,85,76,74.67,0.5713395,,62,0.5713395,1
349,Male,Urban,"15,001 - 50,000",Amravati,Amravati,OBC,69,69.6,80,80,83,84,79,81.67,23.6981488,68.8226961,20517,68.8226961,1
350,Female,Urban,"50,001 - 1,00,000",Amravati,Amravati,OBC,66,70.2,26,28,24,24,81,23,0.437951051,,328720,0.510160302,0
351,Female,Rural,"15,001 - 50,000",Wardha,Wardha,SC,63,71.4,29,27,28,28,78,31,0.814407735,,104186,0.663129816,0
352,Male,Rural,"50,001 - 1,00,000",Buldhana,Sangrampur,OBC,90,81.4,84,78,82,86,81,82.17,74.2590255,,38078,74.2590255,1
353,Female,Rural,"15,001 - 50,000",Amravati,Amravati,OBC,72,71.8,31,27,21,33,85,23,0.376419052,49.6025657,531748,0.745717599,0
354,Male,Rural,"15,001 - 50,000",Betul,Not Applicable,Not Applicable,85,91.8,96,96,85,96,94,92.8,,54.002107,33303,54.002107,1
355,Female,Rural,"15,001 - 50,000",Amravati,Amravati,OBC,72,71.8,87,85,88,85,85,85.33,61.1578019,49.6025657,54241,61.1578019,1
356,Male,Rural,"15,001 - 50,000",Amravati,Daryapur,SC,83,82.6,20,20,20,25,82,23,0.678632633,,118093,0.516565925,0
357,Male,Urban,"15,001 - 50,000",Washim,Malegaon,NT 1 (NT-B),72,77,90,90,88,91,90,89.33,,51.9783577,73,51.9783577,1
358,Male,Urban,"2,50,001 - 3,00,000",Amravati,Amravati,DT/VJ,85,76.6,22,26,24,24,59,20,0.378774281,39.9809039,289483,0.096874679,0
359,Male,Urban,"50,001 - 1,00,000",Amravati,Amravati,OBC,83,68.8,86,86,79,89,80,84.83,77.8069117,59.476447,32905,77.8069117,1
360,Male,Urban,"15,001 - 50,000",Amravati,Amravati,OBC,91,81.6,33,28,26,23,69,27,0.567622854,42.406168,288021,0.773874574,0
361,Female,Urban,"15,001 - 50,000",Amravati,Amravati,OBC,74,77.2,81,87,79,91,87,85,34.2703923,57.4551241,30412,57.4551241,1
362,Female,Rural,"15,001 - 50,000",Washim,Mangrulpir,SC,95,90.8,89,90,95,93,87,89.5,59.014768,,55709,59.014768,1
363,Male,Rural,"15,001 - 50,000",Buldhana,Nandura,Open,73,70.8,87,83,86,88,84,85.67,64.167253,25.3721987,49682,64.167253,1
364,Male,Urban,"15,001 - 50,000",Amravati,Amravati,Open,64,68.8,76,72,68,86.5,71,76.67,53.6630133,,61299,53.6630133,1
365,Female,Rural,"1,00,001 - 1,50,000",Washim,Mangrulpir,OBC,89,90.2,89,88,87,88,84,87.17,72.5725827,,40354,72.5725827,1
